id,nome,categoria,endereco_rua,numero,bairro,endereco_formatado,latitude,longitude,cuisine,site
10922951487,Refeitório - ICSA,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4727611,-48.4492819,regional,
10926337574,Auditório - Faculdade de Eng. Mecânica,Centro Comunitário,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4733729,-48.4528472,Não especificada,
10940806730,CAEQ - XEROX,Centro Comunitário,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4740228,-48.4510101,Não especificada,
10940806731,CAEEB - ELÉTRICA E BIOMÉTICA,Centro Comunitário,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4740171,-48.4509675,Não especificada,
10940806732,CAECOM - COMPUTAÇÃO - XEROX,Centro Comunitário,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4740093,-48.4509193,Não especificada,
10940806733,CAENA - ENG.ALIMENTOS,Centro Comunitário,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4740037,-48.4508713,Não especificada,
10940806740,CAEF- PF,Centro Comunitário,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4737875,-48.4508293,Não especificada,
10940806747,CAAD - CENTRO ACADÊMICO ADMINISTRAÇÃO,Centro Comunitário,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4739122,-48.4499943,Não especificada,
10940806751,LANCHE DA ELI,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4737048,-48.449998,Não especificada,
11011364953,Rui Dos Pregos,Restaurante,Rua da Junqueira,477,,"Rua da Junqueira, 477",38.6973623,-9.1984095,Não especificada,
11048887905,Torre sandwich bar cafe,Restaurante,Rua Bartolomeu Dias,134B,,"Rua Bartolomeu Dias, 134B",38.6951973,-9.2134363,Não especificada,
11048888005,4s Hamburger House,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6951772,-9.2136214,Não especificada,
11110085964,O Caniço,Restaurante,Rua Vieira Portuense,30,,"Rua Vieira Portuense, 30",38.696938,-9.2023781,regional;portuguese,
11112159393,Belém Palácio,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6974925,-9.1989413,Não especificada,
11112159394,Rui Dos Pregos,Restaurante,,508,,Endereço não disponível no OSM (Apenas Coordenadas),38.6974947,-9.1988708,Não especificada,
11188817801,REFEITÓRIO,Restaurante,Avenida Nossa Senhora da Conceição,,SÃO JOÃO DO OUTEIRO,Avenida Nossa Senhora da Conceição - SÃO JOÃO DO OUTEIRO,-1.2632941,-48.4687262,regional,
11234495637,Lanche do Sirio,Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4545741,-48.5004945,Não especificada,
