DISTRITO,BAIRRO,END_COMPLETO,NUM_ENDERECO,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,COD_INDICADOR_ESTAB_ENDERECO
DAGUA,JURUNAS,RUA  DOS PARIQUIS,1217,-1.464834,-48.491314,RESTAURANTE KAMBOA,1.0
DASAC,PEDREIRA,AVENIDA MARQUES DE HERVAL,1084,-1.430872,-48.470128,RESTAURANTE,1.0
DASAC,PEDREIRA,AVENIDA MARQUES DE HERVAL,1092,-1.430725,-48.470028,RESTAURANTE SABOR CASEIRO,1.0
DABEN,PARQUE VERDE,RUA  DAS GARCAS,18,-1.361386,-48.448658,RESTAURANTE BISTRO DA CLAU,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  DO VELEIRO,11,-1.256205,-48.463194,BAR ENCONTRO DOS AMIGOS,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,0,-1.253167,-48.463541,ATLANTICO BAR,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,3,-1.252925,-48.463182,BAR DA IRIS,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,90,-1.252754,-48.462285,BAR O MARITUBA,1.0
DABEL,MARCO,AVENIDA DUQUE DE CAXIAS,1261,-1.435995,-48.466101,CHURRASCARIA,1.0
DABEL,MARCO,AVENIDA DUQUE DE CAXIAS,1229,-1.436192,-48.46632,POINT BAR,1.0
DABEL,MARCO,AVENIDA DUQUE DE CAXIAS,1261,-1.435995,-48.466101,CHURRASCARIA FRANGO NA BRASA,1.0
DAOUT,SAO JOAO DO OUTEIRO,TRAVESSA  HEITOR COSTA,0,-1.252569,-48.460775,DEPOSITO DE BEBIDA NC,1.0
DAOUT,SAO JOAO DO OUTEIRO,TRAVESSA  HEITOR COSTA,42,-1.252836,-48.460465,BAR E RESTAURANTE FRANCIS,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,20,-1.252449,-48.461859,RESTAURANTE,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,0,-1.252386,-48.461696,RESTAURANTE,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,0,-1.255078,-48.46593,BAR DO JUNINHO,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,0,-1.254797,-48.465481,BAR DO ROLA PAPO,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,0,-1.254638,-48.465296,DEUZAS BAR,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,58,-1.254233,-48.464773,MARCIOS BAR,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,57,-1.253475,-48.463904,MAR E SOL BAR,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,0,-1.252703,-48.463252,BAR DA ROSE,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,40,-1.255039,-48.465804,BAR ONDA TROPICAL,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,0,-1.254082,-48.46459,NETOS BAR,1.0
